rsq,set_name,column,is_baseline,spearman_abs_rho,permutation_r2_drop,ablation_r2_drop,average_rank
RSQ3,nested_set5_all_ungated,plan_curvature,False,0.009343365877889493,0.0009272628202642297,-0.017993548839203455,26.333333333333332
RSQ3,nested_set5_all_ungated,tpi,False,0.02228656781559311,0.013049168903850106,-0.023816547960420875,22.333333333333332
RSQ3,nested_set5_all_ungated,elevation_roughness,False,0.05840940153205425,0.01633452695558668,-0.009219586152668047,14.666666666666666
RSQ3,nested_set5_all_ungated,ceh_twi,False,0.034193891064829965,0.013026478153524979,0.0018546310870526383,14.666666666666666
RSQ3,nested_set5_all_ungated,solar_radiation_index,False,0.03318992423418169,0.008060109499474555,0.01648707961507767,13.666666666666666
RSQ3,nested_set5_all_ungated,frost_hollow_flag,False,0.011156785450528556,0.0001815691244545503,-0.033922533835667124,29.0
RSQ3,nested_set5_all_ungated,topex,False,0.12021959366102573,0.0034709204423245543,-0.013876525293671449,16.333333333333332
RSQ3,nested_set5_all_ungated,windward_topex,False,0.15563456203133938,0.026553804140777015,-0.003949936043077695,9.333333333333334
RSQ3,nested_set5_all_ungated,whcl,False,0.16534535463919656,-0.010366996736785539,-0.07625245363290833,28.0
RSQ3,nested_set5_all_ungated,gwa_wind_speed_50m,False,0.1779874025090073,-0.0015998420199303531,-0.028347041188912958,21.333333333333332
RSQ3,nested_set5_all_ungated,tpi_500m,False,0.09604371422839247,0.04097976668799341,-0.03644892161485003,16.666666666666668
RSQ3,nested_set5_all_ungated,local_relief_500m,False,0.01543708051366059,-0.0025405922929201408,-0.041212452079762096,34.666666666666664
RSQ3,nested_set5_all_ungated,tas_mean,False,0.12787268202530724,0.012260917964154405,-0.014210449704541439,14.666666666666666
RSQ3,nested_set5_all_ungated,groundfrost_mean,False,0.026802061447076142,0.005267045101372436,-0.031573070852146556,24.666666666666668
RSQ3,nested_set5_all_ungated,chelsa_gdd5_degc,False,0.1286670034645754,-0.0014901358576754342,-0.005732304985056835,19.666666666666668
RSQ3,nested_set5_all_ungated,chelsa_bio12_precip_mm,False,0.13460919520150247,0.06465711799668239,-0.08093647896714473,16.666666666666668
RSQ3,nested_set5_all_ungated,soilgrids_ph,False,0.1708436576468024,-0.0004742613569066467,-0.032632064726893506,21.333333333333332
RSQ3,nested_set5_all_ungated,dist_to_watercourse,False,0.05092848525641507,-0.015561072781551055,-0.04568172197678866,32.333333333333336
RSQ3,nested_set5_all_ungated,dist_to_cpmt_boundary,False,0.0014739167342204408,-0.00017364695176114164,0.025665696945259553,24.0
